sample,number_of_regions,total_characters,region_perc,characters_perc
Allantoma_decandra,2,3709,1.0,1.0
Allantoma_lineata,2,3709,1.0,1.0
Barringtonia_edulis,2,3709,1.0,1.0
Bertholletia_excelsa,2,3709,1.0,1.0
Cariniana_estrellensis,2,3709,1.0,1.0
Corythophora_amapaensis,2,3709,1.0,1.0
Corythophora_labriculata,2,3709,1.0,1.0
Couratari_macrosperma,2,3709,1.0,1.0
Couratari_stellata,2,3709,1.0,1.0
Couroupita_guianensis,2,3709,1.0,1.0
Eschweilera_alata,2,3709,1.0,1.0
Eschweilera_caudiculata,2,3709,1.0,1.0
Eschweilera_integrifolia,2,3709,1.0,1.0
Eschweilera_micrantha,2,3709,1.0,1.0
Eschweilera_pittieri,2,3709,1.0,1.0
Eschweilera_wachenheimii,2,3709,1.0,1.0
Eschweliera_congestiflora,2,3709,1.0,1.0
Grias_cauliflora,2,3709,1.0,1.0
Gustavia_augusta,2,3709,1.0,1.0
Gustavia_speciosa,2,3709,1.0,1.0
Lecythis_ampla,2,3709,1.0,1.0
Lecythis_corrugata,2,3618,1.0,0.9754650849285522
Lecythis_minor,2,3709,1.0,1.0
Lecythis_pneumatophora,2,3709,1.0,1.0
